Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
88066,0,0.066410371,51y,0,0.567677682,6626.0,13,0,3,0,4.0
32101,0,0.559248025,48y,0,0.2150633189999999,4500.0,2,0,0,0,1.0
113161,0,0.011982701,64y,0,0.003375899,6812.0,8,0,0,0,2.0
131026,0,0.035568427,45y,0,0.46622719,10466.0,12,0,3,0,2.0
22153,0,1.009995002,51y,0,0.171614477,4917.0,3,0,1,0,3.0
64137,0,0.392796435,33y,0,0.272010422,14583.0,12,0,2,0,0.0
70849,0,0.405122362,33y,0,5742.0,0.0,12,0,3,0,2.0
147977,0,0.033018389,69y,0,0.089895988,1345.0,10,0,0,0,0.0
47760,0,0.018675921,52y,0,0.203190743,5703.0,8,0,1,0,2.0
42038,0,0.000876385,54y,0,9.15e-05,10933.0,4,0,0,0,1.0
40597,0,0.264802666,38y,0,0.3603579179999999,7375.0,5,0,2,0,1.0
68822,1,1.206896552,45y,0,0.016806723,1903.0,2,1,0,1,3.0
147101,0,0.032654621,59y,0,94.0,,6,0,0,0,0.0
22079,1,0.4561014379999999,50y,0,0.432189083,5330.0,15,1,2,3,1.0
80491,0,0.271130202,72y,0,0.210507181,5500.0,11,0,0,0,1.0
41288,0,0.9999999,52y,1,0.160593357,3100.0,1,1,0,0,2.0
58975,0,0.01089473,53y,0,0.720530703,5878.0,6,0,2,0,2.0
41812,0,0.126879711,43y,0,1.256092608,4923.0,16,0,5,0,0.0
88413,0,0.010031093,71y,0,0.33129771,2619.0,9,0,1,0,1.0
139787,0,0.918163673,42y,0,0.003816794,3405.0,1,0,0,0,1.0
1223,0,0.9999999,27y,0,0.014697237,1700.0,0,0,0,0,1.0
106342,0,0.00471549,65y,0,0.001745755,6300.0,9,0,0,0,0.0
135006,0,0.636595797,44y,0,0.785457163,4166.0,6,0,1,0,0.0
38983,0,0.356266422,54y,0,0.233883058,2000.0,7,0,0,0,1.0
97083,0,0.071692431,36y,0,0.314980794,8590.0,7,0,1,0,1.0
106729,0,0.042636637,65y,0,0.56686306,5600.0,9,0,5,0,0.0
110465,0,0.010116136,59y,0,0.223418573,5200.0,10,0,1,0,0.0
7730,0,0.3887731889999999,53y,0,0.456694813,8289.0,7,0,1,0,1.0
105470,0,0.6335585220000001,55y,0,0.328323272,8116.0,9,0,0,0,2.0
37236,0,0.42836475,53y,0,0.618614797,5500.0,11,0,2,0,0.0
124290,0,0.026711412,53y,1,0.004571864,10498.0,7,0,0,0,0.0
83272,0,0.412977057,72y,0,223.0,,2,0,0,0,0.0
39378,0,0.114997511,50y,1,0.6128387160000001,10000.0,12,0,3,0,4.0
131125,0,0.4243858279999999,67y,0,0.337415646,4000.0,10,0,1,0,0.0
56095,0,0.080323801,58y,0,0.3658150129999999,5048.0,6,0,2,0,1.0
131080,0,0.125023777,69y,2,0.942993583,6700.0,6,0,2,0,0.0
41920,0,0.437616523,56y,0,0.420407782,10691.0,14,0,2,0,2.0
10334,0,0.5681063120000001,48y,0,0.272070485,5674.0,5,0,2,0,0.0
111392,0,0.6992914379999999,28y,0,0.382885696,1600.0,8,0,0,0,2.0
145464,0,0.055399824,53y,0,0.436912617,5000.0,6,0,1,0,1.0
16320,0,0.020573433,49y,0,0.237284876,10400.0,10,0,2,0,0.0
43674,0,0.650938432,29y,0,0.2093862819999999,3600.0,4,0,0,0,1.0
66170,0,0.602933466,59y,0,0.502241459,6468.0,9,0,2,0,1.0
21564,0,0.0,85y,0,2.0,,3,0,0,0,
83617,0,0.996003996,31y,1,0.375812094,2000.0,6,0,0,0,1.0
5479,0,0.028482112,74y,0,0.1519878409999999,12500.0,10,0,1,0,0.0
19541,0,0.465015616,41y,1,0.352941176,6000.0,7,0,1,1,2.0
13076,0,0.4531757279999999,51y,0,0.74185163,5000.0,16,0,3,0,0.0
125008,0,0.2987541999999999,51y,0,0.656467737,3300.0,16,0,2,0,1.0
93645,0,0.128362388,64y,0,0.183818311,7044.0,8,0,1,0,0.0
31352,0,0.040433857,53y,0,0.4063134579999999,5416.0,12,0,2,0,0.0
85378,0,0.035313451,67y,0,29.0,0.0,3,0,0,0,0.0
93381,0,0.670886076,35y,0,0.521137161,5416.0,5,0,2,0,1.0
22829,0,0.374398395,45y,0,0.279760025,3166.0,8,0,0,0,0.0
25715,0,0.379236395,72y,0,0.4331220289999999,12619.0,14,0,3,0,3.0
114755,0,0.236311551,46y,0,0.423894026,4000.0,4,0,1,0,2.0
100326,0,0.8657613540000001,46y,2,1.326510721,3077.0,12,0,2,0,2.0
68451,0,0.125838794,76y,0,0.138965259,4000.0,3,0,0,0,0.0
37026,1,1.0433421109999998,44y,2,1186.0,,15,1,1,0,2.0
138801,0,0.99781838,40y,0,0.511753731,5359.0,6,0,2,0,0.0
63130,0,0.045938827,56y,0,0.183659431,13083.0,5,0,1,0,4.0
148311,0,0.0,42y,0,1.544712846,6250.0,13,0,2,0,3.0
105932,0,0.9999999,52y,0,0.292134831,800.0,2,0,0,0,1.0
96176,0,0.025953366,59y,0,0.21831108,5766.0,5,0,1,0,1.0
103156,0,0.387332077,73y,1,0.372664597,19000.0,8,0,3,0,0.0
72317,0,0.324486457,50y,0,0.51837655,4434.0,7,1,1,0,3.0
128235,0,0.214806643,40y,0,0.209684331,7000.0,8,0,1,0,0.0
136755,0,0.0,55y,0,0.397268409,6735.0,9,0,2,0,1.0
106589,0,0.3821344679999999,50y,3,0.2830974189999999,1200.0,15,0,0,0,0.0
50962,0,0.875973047,79y,0,1.0649188509999998,800.0,6,0,0,0,0.0
73332,0,0.540956611,63y,0,0.42294726,17500.0,19,0,2,0,1.0
41379,0,0.0781384659999999,53y,0,0.329869295,9333.0,8,0,1,0,2.0
25097,0,0.409008842,74y,0,0.427517132,1896.0,5,0,0,0,0.0
115742,0,0.060680607,42y,0,0.3391101479999999,6000.0,5,0,1,0,3.0
118189,0,0.9999999,28y,0,0.0,2600.0,0,3,0,0,0.0
76975,0,0.933832344,75y,0,1386.0,,9,0,0,1,0.0
99846,0,0.9999999,34y,0,0.098607242,3589.0,1,0,0,0,0.0
87736,0,0.0,51y,0,0.25974026,1000.0,5,0,0,0,3.0
33678,1,0.747859488,38y,0,856.0,1.0,9,0,0,0,0.0
125263,0,0.9999999,73y,0,0.009153142,13000.0,1,3,0,0,0.0
142899,0,0.31913635,46y,1,0.615823173,11400.0,25,0,4,0,0.0
118988,0,0.0,48y,0,3145.0,,2,0,1,0,
124310,0,0.185820092,63y,0,0.100644968,13333.0,7,0,1,0,1.0
52886,0,0.771615226,42y,0,0.3194921069999999,2913.0,7,0,0,0,0.0
41254,0,0.425586297,59y,0,0.259790035,6000.0,11,0,1,0,0.0
143624,0,0.136766601,54y,1,0.728791014,6765.0,11,0,2,0,2.0
21218,1,0.470405565,40y,1,1.51665433,1350.0,13,0,1,0,3.0
108765,0,0.282404581,53y,0,1.57042957,1000.0,6,0,1,0,2.0
125182,0,0.9999999,45y,0,0.347556411,9350.0,7,0,1,0,2.0
23746,0,0.256540095,51y,0,0.793825679,9166.0,13,0,2,0,2.0
56094,0,0.235793263,80y,0,0.3544695329999999,3232.0,10,0,2,0,0.0
1927,0,0.009386388,71y,0,0.010705922,2988.0,12,0,0,0,0.0
56682,0,0.36556788,43y,0,0.104467354,2909.0,5,0,1,0,0.0
50704,0,0.0,87y,0,0.254553155,2360.0,4,0,1,0,0.0
142903,0,0.9999999,60y,0,0.0,2500.0,1,1,0,1,0.0
66596,0,0.4441719179999999,43y,0,0.445425762,6000.0,9,0,1,1,3.0
28894,0,0.5402208310000001,47y,0,2526.0,,12,0,1,0,5.0
126474,1,0.500745115,53y,1,0.41603811,5037.0,12,1,1,0,1.0
99903,0,0.181423388,60y,0,0.032192131,5870.0,2,0,0,0,0.0
62142,0,0.0,51y,0,30.0,,3,0,0,0,0.0
75549,0,0.421361318,58y,0,4957.0,0.0,16,0,3,1,0.0
55970,0,0.338576116,25y,0,0.168526786,3583.0,5,0,0,0,0.0
15567,0,0.815789474,56y,0,42.0,,2,1,0,0,0.0
84678,0,0.003373659,81y,0,4.0,,9,0,0,0,
119176,0,0.0931115669999999,57y,0,0.077461503,15000.0,15,0,1,0,0.0
22864,0,0.10149812,59y,1,0.0918635169999999,8000.0,12,0,0,0,0.0
122999,0,0.018688762,57y,0,1509.0,,7,0,2,0,0.0
47698,0,0.1188402,31y,0,310.0,,8,0,0,0,0.0
131570,0,0.469305054,31y,1,0.26802749,9748.0,8,0,1,0,2.0
65226,0,0.062759575,42y,0,120.0,0.0,4,0,1,0,0.0
13234,0,0.070943635,36y,0,0.617076585,5000.0,5,0,3,0,0.0
123842,0,0.163683791,67y,0,0.317595628,4574.0,5,0,2,0,0.0
58228,0,0.523886308,57y,0,0.11389332,14416.0,4,0,1,0,1.0
7572,0,0.960067998,57y,0,0.539494358,7000.0,12,0,1,0,0.0
44996,0,0.193300219,52y,0,0.262487757,8167.0,13,0,1,0,0.0
75755,0,0.0654730729999999,56y,0,0.420611965,6568.0,8,0,2,0,0.0
9983,1,0.8485977370000001,54y,1,0.563549658,9645.0,23,0,3,2,0.0
59706,0,0.254495893,72y,0,1.828523978,4816.0,17,0,2,0,0.0
24670,0,0.02107911,43y,0,2579.0,,12,0,2,0,0.0
139562,0,0.057552281,63y,0,88.0,,3,0,0,0,0.0
148988,0,0.154093495,48y,0,0.32807156,3800.0,9,0,0,0,0.0
44053,0,0.033785766,48y,0,0.363649202,7080.0,8,0,2,0,2.0
145718,0,0.854836767,68y,3,0.524298653,9053.0,5,0,2,1,0.0
65298,0,0.041166596,51y,0,0.45850292,5650.0,9,0,2,0,0.0
3741,0,0.092636424,60y,0,3868.0,,16,0,2,0,0.0
104768,0,0.011818486,52y,0,0.013222516,2646.0,17,0,0,0,0.0
61898,0,0.9999999,47y,0,0.912834866,2500.0,2,0,1,0,3.0
12252,0,0.0344355479999999,63y,0,0.25243961,6250.0,11,0,1,0,1.0
129260,0,0.021956507,52y,0,0.355888551,4270.0,3,0,1,0,2.0
34082,0,0.062443873,52y,0,0.396978778,16350.0,23,0,3,0,4.0
88321,0,0.0252805,63y,0,0.7416139540000001,5216.0,11,0,2,0,0.0
13879,0,0.915883244,58y,1,0.961737565,4442.0,9,0,2,0,0.0
31499,0,0.0,54y,0,0.139931741,2050.0,3,0,0,0,0.0
131385,0,0.001999956,77y,0,0.00059988,5000.0,8,0,0,0,0.0
50132,0,0.054794521,32y,1,0.25479904,6667.0,6,0,2,0,1.0
106988,0,0.086431075,68y,0,207.0,,8,0,0,0,0.0
66081,0,0.024637249,62y,0,0.144549763,3375.0,6,0,0,1,0.0
122665,0,0.017592963,25y,0,0.6810457520000001,764.0,3,0,0,0,0.0
61063,0,0.4313680239999999,44y,2,0.042988314,9583.0,6,0,0,0,2.0
98977,0,0.694456596,60y,1,0.523375308,6908.0,10,0,3,0,1.0
37677,0,0.079994667,47y,0,0.001433286,30000.0,4,0,0,0,0.0
118793,0,0.9999999,56y,0,0.527893422,1200.0,2,0,0,0,0.0
14138,0,0.0,51y,0,0.11446013,2620.0,2,0,0,0,5.0
80686,1,0.5610195889999999,26y,2,0.158914729,1547.0,5,0,0,2,1.0
51905,0,0.067753469,88y,0,32.0,,5,0,0,0,0.0
104347,0,0.434117176,57y,0,0.3585710479999999,3750.0,16,0,0,0,0.0
43252,0,0.975403536,28y,0,0.397540984,2683.0,4,0,1,0,0.0
137969,0,0.965561378,61y,0,0.3618552579999999,2500.0,3,0,0,0,2.0
24770,0,0.7393727459999999,39y,1,0.280959863,7000.0,5,0,1,0,2.0
8349,0,0.9999999,34y,0,0.0,2720.0,0,0,0,0,1.0
21779,0,0.040638847,50y,0,0.443213649,7853.0,10,0,2,0,0.0
26412,0,0.404004495,47y,1,0.203234579,6986.0,10,0,1,0,2.0
133947,0,0.0241734929999999,61y,0,0.0856731459999999,8333.0,4,0,1,0,0.0
51965,0,0.845415458,55y,1,0.6826516220000001,4962.0,7,0,1,0,0.0
23695,0,0.051998496,42y,0,0.280096794,3305.0,13,0,0,0,0.0
45824,0,0.308021624,53y,0,0.874722517,10360.0,8,0,4,0,0.0
102464,0,0.111104367,58y,1,0.093727726,8417.0,5,0,0,0,0.0
79898,0,0.0,71y,0,0.130175913,3694.0,9,0,0,0,1.0
103773,0,0.236051278,54y,2,0.226359293,13186.0,13,0,3,0,0.0
148497,0,0.081167883,50y,0,0.215839208,6666.0,11,0,0,0,0.0
122514,0,0.453624026,46y,0,0.153170509,30625.0,12,0,2,0,3.0
46340,0,0.0,31y,0,0.351820995,4200.0,6,0,1,0,0.0
46762,1,0.956043956,41y,0,0.098730447,8821.0,7,0,0,2,3.0
15660,0,0.03710089,27y,1,0.910447761,200.0,6,0,0,0,0.0
96896,0,0.0,25y,0,0.0,820.0,2,0,0,0,0.0
59810,0,0.431059401,50y,2,0.431013628,12400.0,12,0,2,0,3.0
17050,0,0.038344679,63y,0,2.828963795,800.0,19,0,1,1,1.0
135722,0,0.06483362,26y,0,0.014981273,800.0,1,0,0,0,0.0
146716,0,0.284095328,50y,0,0.273005509,4900.0,7,0,2,0,1.0
34152,0,0.331944169,58y,0,0.094183399,4830.0,18,0,0,0,1.0
68133,0,0.9999999,41y,1,0.4945018329999999,3000.0,3,3,1,1,1.0
9008,0,0.279807884,45y,0,0.220815752,7820.0,15,0,0,0,2.0
68172,0,0.79070155,47y,0,1.085971343,3000.0,8,0,1,0,0.0
126636,0,0.9999999,37y,0,0.846630674,5000.0,6,0,3,0,1.0
11835,0,0.0,23y,0,0.30816078,820.0,4,0,0,0,0.0
131804,0,0.054710999,42y,0,19.0,,3,0,0,0,0.0
52175,0,0.367004337,71y,0,0.613349015,3400.0,11,0,2,0,1.0
30040,0,0.0,50y,0,0.60940499,4167.0,6,0,2,0,1.0
130389,0,0.1000769169999999,61y,0,0.09686019,3375.0,5,0,0,0,0.0
142357,1,2.297612046,42y,1,0.806048488,4000.0,8,2,1,4,0.0
52263,0,0.127945785,59y,1,0.310860505,8157.0,10,1,1,0,1.0
85189,0,0.48360057,59y,0,1.040107465,5210.0,15,0,3,0,0.0
63231,0,0.0,49y,0,0.10568409,3500.0,3,0,0,0,1.0
83276,0,0.014208449,79y,0,0.12371907,4000.0,8,0,0,0,0.0
93863,0,0.9999999,28y,0,503.0,,3,1,0,0,0.0
84901,0,0.146519124,64y,0,2.551383399,1517.0,13,0,3,0,0.0
368,0,0.502958087,57y,0,6381.0,,5,0,2,0,0.0
148510,0,0.611809215,29y,0,321.0,,8,0,0,0,0.0
125786,0,0.6032158710000001,80y,0,5.433333332999999,299.0,3,0,2,0,0.0
17846,0,0.022079924,57y,0,3803.0,,17,0,1,0,
81594,0,0.034132196,63y,0,0.011995202,2500.0,3,0,0,0,0.0
102039,0,0.9999999,47y,0,0.155483871,3099.0,4,0,0,0,2.0
128185,0,0.026446847,42y,0,0.46807757,11292.0,16,0,4,0,3.0
17832,0,0.39920264,36y,0,0.115739484,7369.0,9,0,0,0,0.0
8732,0,0.032668614,35y,0,346.0,,10,0,0,0,0.0
125006,1,0.7734407440000001,45y,0,0.8070337809999999,2160.0,7,0,1,1,0.0
96890,0,0.917418961,51y,0,2598.0,,5,0,2,0,0.0
111610,0,0.878640511,38y,1,0.2396832239999999,18561.0,11,0,1,0,3.0
112567,0,0.24198285,41y,0,0.266269076,5700.0,6,0,2,0,2.0
105830,0,0.020730737,44y,0,0.112464183,5583.0,11,0,0,0,0.0
124085,0,0.9999999,40y,0,0.393569845,901.0,1,0,0,0,2.0
146537,0,0.093314838,63y,0,0.231376862,10000.0,14,0,1,0,1.0
64340,0,0.9999999,41y,0,0.003761755,4784.0,0,1,0,0,2.0
130348,0,0.20956587,54y,0,0.239882042,9833.0,6,0,3,0,0.0
27517,0,0.041797214,73y,0,0.267676046,7000.0,7,0,2,0,1.0
106180,0,0.3998001,62y,0,0.31893347,7800.0,14,0,2,0,1.0
81560,0,0.7607370809999999,53y,0,5264.0,0.0,20,0,2,0,0.0
38125,0,0.9999999,40y,0,53.0,,1,0,0,0,0.0
71304,0,0.676420903,43y,0,0.098596332,8833.0,7,0,0,1,0.0
22596,0,0.435789474,60y,0,0.435846297,7520.0,10,0,2,0,0.0
48103,0,0.0,32y,1,1974.0,,4,0,1,0,0.0
84277,0,0.707291846,56y,1,0.642557023,6663.0,10,0,1,0,0.0
90624,0,0.005839766,46y,0,31.0,,2,0,0,0,0.0
86696,0,0.9999999,35y,1,0.489742241,1900.0,6,0,0,0,0.0
69498,0,0.070101042,82y,0,0.017746229,2253.0,3,0,0,0,0.0
40808,0,0.9999999,55y,0,0.200444198,1800.0,3,0,0,0,1.0
129008,0,0.196758683,74y,0,2835.0,,8,0,3,0,0.0
87723,1,0.731926807,31y,2,0.222364422,6250.0,4,4,0,1,0.0
8226,0,0.54798299,51y,0,0.4103078979999999,2987.0,6,0,2,0,0.0
74842,0,0.9999999,36y,0,0.145647704,2917.0,1,1,0,0,1.0
141789,0,0.857287151,45y,6,1.029046369,5714.0,22,0,3,0,1.0
63534,0,0.0079996,80y,0,8.0,,4,0,0,0,0.0
103615,0,0.0,35y,0,0.407518496,5000.0,6,0,1,0,0.0
77956,0,0.148289838,34y,0,0.574585635,3800.0,5,0,2,0,3.0
976,0,0.278636315,47y,0,0.5873616770000001,6867.0,22,0,1,0,4.0
64477,0,0.0078508969999999,62y,0,0.0529262759999999,7500.0,6,0,0,0,0.0
70484,0,0.123325859,63y,0,0.52131726,3400.0,8,0,1,0,0.0
33847,0,1.001999,53y,0,0.158250911,3841.0,5,1,0,0,0.0
139846,0,0.0,38y,0,0.5056682579999999,3351.0,5,0,1,0,2.0
117114,0,0.9999999,30y,0,0.517078488,2751.0,2,2,1,0,2.0
121448,0,0.289110418,57y,1,0.494043027,11666.0,17,0,2,1,2.0
7032,1,0.9999999,29y,98,0.0,1647.0,0,98,0,98,0.0
108893,0,0.758843433,70y,0,171.0,,3,0,0,0,0.0
118562,0,0.0,66y,0,438.0,,3,0,1,0,
42103,1,0.9999999,54y,2,5001.0,,7,3,2,3,0.0
7136,0,0.2405020239999999,40y,2,3334.0,,6,0,1,0,0.0
133518,0,0.98520074,38y,0,0.107435012,5500.0,3,0,0,0,0.0
70614,0,0.019141763,43y,0,0.093431484,8829.0,5,0,0,0,1.0
99813,0,0.343968792,30y,1,1121.0,,10,0,0,0,1.0
122371,0,0.0957528769999999,62y,0,0.05589688,8300.0,18,0,0,0,0.0
38158,0,0.1380080119999999,50y,0,0.1054526059999999,7500.0,4,0,0,0,1.0
27653,0,0.7171314740000001,33y,2,0.161654135,5053.0,4,0,0,0,2.0
81898,1,1.294820717,37y,1,0.042699438,4800.0,2,1,0,1,4.0
41143,0,0.012474153,51y,0,0.302096398,5580.0,10,0,1,0,0.0
64554,0,0.139702582,72y,0,0.389078123,9100.0,18,0,5,0,0.0
85311,0,0.040184988,29y,0,0.002849858,6666.0,3,0,0,0,0.0
65457,0,0.157667153,70y,0,0.210307852,2890.0,9,0,0,0,1.0
11153,0,0.9999999,40y,0,1.0,0.0,1,0,0,0,0.0
29304,0,0.012890846,53y,0,0.061196345,5800.0,14,0,0,0,0.0
91827,0,0.583226806,53y,0,0.400590733,10833.0,15,0,2,0,2.0
72433,0,0.04571109,74y,0,0.415149736,3405.0,8,0,1,0,0.0
75697,0,0.071935396,53y,0,0.290773067,4009.0,12,0,2,0,0.0
81242,0,0.3672539279999999,39y,1,0.3403852229999999,3166.0,9,0,1,0,2.0
